iter	Passed	Remaining
0	17	3389
1	32	3179
2	46	3079
3	57	2812
4	69	2701
5	83	2694
6	95	2641
7	110	2643
8	124	2640
9	138	2622
10	153	2634
11	167	2619
12	180	2596
13	195	2598
14	211	2608
15	226	2599
16	240	2593
17	255	2587
18	270	2578
19	284	2563
20	297	2536
21	309	2502
22	324	2495
23	338	2482
24	353	2473
25	367	2456
26	379	2433
27	391	2403
28	402	2375
29	418	2368
30	433	2361
31	445	2337
32	458	2318
33	469	2293
34	483	2279
35	497	2264
36	512	2259
37	528	2254
38	541	2236
39	557	2230
40	570	2212
41	582	2190
42	595	2173
43	610	2163
44	624	2150
45	639	2141
46	657	2141
47	670	2123
48	685	2113
49	699	2099
50	715	2089
51	731	2082
52	745	2067
53	760	2055
54	777	2048
55	781	2010
56	794	1993
57	809	1981
58	822	1966
59	837	1954
60	852	1943
61	865	1925
62	878	1909
63	891	1894
64	903	1877
65	918	1864
66	934	1854
67	948	1842
68	964	1830
69	975	1811
70	990	1800
71	1004	1786
72	1017	1770
73	1032	1758
74	1047	1745
75	1063	1734
76	1079	1724
77	1093	1709
78	1105	1692
79	1121	1682
80	1135	1668
81	1151	1657
82	1165	1643
83	1179	1628
84	1191	1612
85	1206	1598
86	1220	1585
87	1236	1573
88	1249	1558
89	1264	1544
90	1277	1530
91	1290	1514
92	1308	1505
93	1322	1491
94	1339	1479
95	1355	1467
96	1370	1454
97	1388	1444
98	1405	1433
99	1419	1419
100	1437	1408
101	1452	1395
102	1467	1381
103	1483	1369
104	1500	1357
105	1518	1346
106	1534	1333
107	1550	1320
108	1567	1308
109	1582	1294
110	1601	1284
111	1617	1271
112	1631	1255
113	1645	1241
114	1661	1227
115	1674	1212
116	1688	1197
117	1702	1182
118	1717	1169
119	1731	1154
120	1745	1139
121	1757	1123
122	1771	1109
123	1784	1093
124	1799	1079
125	1812	1064
126	1828	1050
127	1841	1036
128	1855	1021
129	1865	1004
130	1879	989
131	1892	974
132	1907	960
133	1920	945
134	1933	930
135	1946	915
136	1959	901
137	1972	886
138	1983	870
139	1997	856
140	2012	842
141	2025	827
142	2039	813
143	2052	798
144	2066	783
145	2081	769
146	2093	754
147	2107	740
148	2122	726
149	2141	713
150	2154	699
151	2169	684
152	2182	670
153	2196	656
154	2212	642
155	2227	628
156	2244	614
157	2258	600
158	2273	586
159	2289	572
160	2305	558
161	2323	545
162	2338	530
163	2354	516
164	2369	502
165	2384	488
166	2399	474
167	2412	459
168	2427	445
169	2442	431
170	2459	417
171	2473	402
172	2489	388
173	2503	374
174	2515	359
175	2527	344
176	2541	330
177	2555	315
178	2569	301
179	2584	287
180	2599	272
181	2615	258
182	2635	244
183	2648	230
184	2659	215
185	2674	201
186	2687	186
187	2701	172
188	2716	158
189	2728	143
190	2741	129
191	2755	114
192	2771	100
193	2784	86
194	2798	71
195	2810	57
196	2825	43
197	2842	28
198	2855	14
199	2868	0
