iter	Passed	Remaining
0	14	14919
1	33	16530
2	52	17415
3	70	17644
4	82	16474
5	95	15814
6	110	15605
7	124	15408
8	142	15713
9	160	15867
10	175	15814
11	189	15632
12	206	15654
13	219	15436
14	232	15288
15	250	15387
16	262	15160
17	274	14977
18	287	14833
19	300	14710
20	314	14668
21	328	14599
22	344	14648
23	356	14485
24	368	14359
25	377	14152
26	386	13930
27	397	13807
28	407	13656
29	423	13692
30	437	13677
31	446	13509
32	456	13382
33	467	13283
34	476	13145
35	486	13027
36	495	12903
37	503	12739
38	513	12648
39	524	12583
40	535	12534
41	545	12440
42	552	12306
43	564	12258
44	575	12222
45	583	12105
46	592	12006
47	600	11911
48	608	11816
49	617	11740
50	628	11688
51	635	11592
52	645	11525
53	653	11448
54	662	11380
55	671	11326
56	680	11253
57	690	11215
58	698	11141
59	707	11076
60	714	10992
61	721	10921
62	729	10848
63	738	10798
64	745	10726
65	753	10661
66	760	10590
67	767	10524
68	774	10446
69	780	10367
70	787	10305
71	795	10246
72	803	10200
73	811	10151
74	820	10113
75	828	10072
76	838	10055
77	843	9973
78	852	9938
79	860	9891
80	869	9863
81	876	9813
82	885	9784
83	894	9749
84	902	9718
85	910	9673
86	918	9642
87	926	9599
88	934	9564
89	941	9520
90	949	9488
91	956	9439
92	962	9391
93	969	9347
94	977	9312
95	985	9279
96	993	9252
97	1001	9217
98	1009	9188
99	1018	9166
100	1026	9139
101	1034	9108
102	1043	9087
103	1052	9066
104	1060	9040
105	1067	9003
106	1074	8970
107	1081	8935
108	1089	8905
109	1095	8863
110	1102	8831
111	1110	8802
112	1117	8773
113	1125	8748
114	1132	8715
115	1141	8700
116	1150	8684
117	1159	8663
118	1167	8639
119	1177	8634
120	1187	8625
121	1195	8600
122	1203	8581
123	1210	8552
124	1218	8530
125	1226	8504
126	1234	8489
127	1242	8465
128	1250	8442
129	1258	8419
130	1266	8402
131	1275	8386
132	1283	8368
133	1291	8347
134	1300	8334
135	1308	8315
136	1316	8294
137	1323	8267
138	1329	8234
139	1338	8220
140	1346	8203
141	1355	8192
142	1362	8162
143	1370	8146
144	1379	8134
145	1388	8120
146	1397	8109
147	1406	8095
148	1415	8083
149	1424	8070
150	1433	8061
151	1443	8052
152	1451	8034
153	1460	8024
154	1469	8013
155	1477	7994
156	1486	7982
157	1497	7977
158	1507	7972
159	1515	7954
160	1525	7948
161	1534	7936
162	1544	7931
163	1557	7939
164	1572	7956
165	1582	7949
166	1593	7946
167	1613	7990
168	1627	8004
169	1645	8031
170	1663	8066
171	1675	8067
172	1687	8065
173	1697	8059
174	1708	8056
175	1717	8040
176	1730	8044
177	1742	8047
178	1755	8051
179	1767	8051
180	1782	8067
181	1796	8072
182	1810	8082
183	1832	8124
184	1848	8145
185	1863	8155
186	1888	8208
187	1914	8267
188	1933	8295
189	1953	8326
190	1965	8327
191	1980	8336
192	1996	8347
193	2027	8423
194	2065	8525
195	2115	8677
196	2152	8773
197	2202	8921
198	2239	9012
199	2293	9175
200	2339	9299
201	2408	9515
202	2450	9622
203	2491	9721
204	2529	9810
205	2608	10054
206	2679	10266
207	2727	10385
208	2764	10461
209	2798	10528
210	2825	10566
211	2854	10609
212	2878	10635
213	2902	10661
214	2922	10671
215	2945	10692
216	2976	10739
217	2999	10758
218	3021	10775
219	3044	10793
220	3065	10804
221	3099	10862
222	3119	10870
223	3132	10851
224	3144	10832
225	3156	10809
226	3188	10858
227	3233	10949
228	3267	11002
229	3298	11041
230	3330	11086
231	3354	11104
232	3379	11123
233	3405	11149
234	3424	11148
235	3441	11142
236	3472	11179
237	3503	11215
238	3534	11255
239	3561	11276
240	3584	11287
241	3602	11283
242	3617	11270
243	3632	11253
244	3648	11241
245	3660	11218
246	3676	11209
247	3692	11197
248	3713	11200
249	3736	11209
250	3751	11193
251	3765	11175
252	3776	11149
253	3785	11117
254	3792	11080
255	3801	11048
256	3811	11019
257	3820	10987
258	3829	10957
259	3839	10926
260	3847	10894
261	3855	10859
262	3864	10828
263	3872	10796
264	3881	10764
265	3891	10737
266	3904	10719
267	3920	10707
268	3932	10685
269	3947	10673
270	3961	10657
271	3982	10658
272	3998	10648
273	4014	10636
274	4030	10624
275	4046	10615
276	4068	10619
277	4089	10620
278	4102	10601
279	4116	10586
280	4136	10584
281	4150	10568
282	4166	10557
283	4192	10568
284	4223	10596
285	4246	10600
286	4272	10613
287	4294	10616
288	4336	10668
289	4381	10727
290	4400	10722
291	4423	10725
292	4443	10721
293	4461	10714
294	4475	10695
295	4502	10708
296	4520	10699
297	4537	10688
298	4553	10675
299	4565	10652
300	4580	10637
301	4595	10621
302	4611	10606
303	4625	10590
304	4639	10571
305	4652	10552
306	4662	10524
307	4672	10497
308	4682	10470
309	4692	10444
310	4704	10421
311	4714	10396
312	4727	10377
313	4735	10345
314	4745	10320
315	4759	10302
316	4772	10282
317	4783	10259
318	4789	10225
319	4800	10201
320	4808	10170
321	4823	10155
322	4835	10135
323	4850	10120
324	4868	10111
325	4881	10091
326	4898	10081
327	4912	10064
328	4935	10067
329	4959	10068
330	4983	10072
331	4998	10057
332	5010	10035
333	5022	10014
334	5035	9995
335	5043	9966
336	5051	9938
337	5061	9912
338	5069	9885
339	5078	9858
340	5087	9831
341	5099	9811
342	5117	9801
343	5136	9795
344	5157	9791
345	5176	9783
346	5191	9770
347	5212	9766
348	5232	9759
349	5255	9760
350	5268	9741
351	5279	9719
352	5301	9717
353	5321	9711
354	5338	9700
355	5353	9684
356	5379	9688
357	5391	9669
358	5406	9653
359	5420	9635
360	5433	9618
361	5444	9596
362	5459	9579
363	5473	9564
364	5488	9548
365	5496	9520
366	5508	9501
367	5520	9480
368	5533	9461
369	5547	9445
370	5560	9426
371	5577	9415
372	5592	9401
373	5609	9388
374	5625	9375
375	5638	9358
376	5655	9345
377	5678	9344
378	5698	9336
379	5717	9328
380	5740	9326
381	5760	9319
382	5777	9307
383	5795	9296
384	5809	9279
385	5825	9266
386	5840	9251
387	5858	9239
388	5878	9233
389	5900	9229
390	5920	9220
391	5944	9220
392	5962	9209
393	5973	9187
394	5993	9179
395	6009	9165
396	6022	9147
397	6039	9135
398	6056	9122
399	6083	9124
400	6100	9112
401	6122	9107
402	6133	9086
403	6147	9069
404	6160	9050
405	6179	9040
406	6190	9020
407	6204	9002
408	6217	8984
409	6232	8968
410	6250	8957
411	6264	8941
412	6277	8922
413	6287	8900
414	6304	8887
415	6318	8870
416	6334	8856
417	6348	8839
418	6361	8820
419	6377	8806
420	6391	8789
421	6401	8767
422	6408	8742
423	6423	8725
424	6443	8717
425	6457	8700
426	6472	8685
427	6492	8676
428	6512	8667
429	6531	8658
430	6546	8643
431	6558	8623
432	6571	8604
433	6584	8587
434	6595	8566
435	6606	8546
436	6620	8529
437	6633	8512
438	6647	8494
439	6661	8477
440	6674	8460
441	6692	8448
442	6705	8431
443	6723	8419
444	6748	8416
445	6783	8425
446	6804	8417
447	6825	8409
448	6830	8382
449	6835	8354
450	6841	8328
451	6847	8301
452	6853	8275
453	6859	8248
454	6864	8222
455	6870	8196
456	6876	8170
457	6883	8146
458	6890	8121
459	6897	8096
460	6903	8071
461	6910	8047
462	6917	8023
463	6925	7999
464	6932	7975
465	6941	7954
466	6950	7932
467	6957	7909
468	6965	7886
469	6972	7862
470	6981	7841
471	6989	7818
472	6995	7794
473	7004	7772
474	7012	7750
475	7019	7727
476	7028	7706
477	7036	7684
478	7044	7662
479	7051	7639
480	7058	7615
481	7065	7592
482	7071	7569
483	7079	7547
484	7087	7526
485	7096	7505
486	7103	7482
487	7109	7459
488	7118	7438
489	7124	7415
490	7131	7392
491	7138	7370
492	7144	7347
493	7152	7326
494	7160	7305
495	7169	7284
496	7176	7263
497	7184	7242
498	7192	7221
499	7199	7199
500	7207	7178
501	7214	7157
502	7222	7135
503	7229	7114
504	7235	7092
505	7242	7070
506	7251	7051
507	7259	7030
508	7267	7010
509	7275	6990
510	7282	6968
511	7290	6948
512	7298	6928
513	7307	6909
514	7315	6889
515	7322	6868
516	7333	6851
517	7342	6832
518	7348	6810
519	7354	6789
520	7360	6767
521	7366	6745
522	7372	6723
523	7378	6702
524	7384	6681
525	7394	6663
526	7406	6647
527	7416	6629
528	7428	6613
529	7439	6597
530	7450	6580
531	7457	6560
532	7466	6542
533	7474	6522
534	7483	6504
535	7495	6488
536	7506	6472
537	7515	6453
538	7525	6436
539	7539	6422
540	7549	6404
541	7559	6387
542	7570	6371
543	7582	6355
544	7594	6340
545	7606	6324
546	7616	6307
547	7628	6291
548	7638	6274
549	7650	6259
550	7662	6243
551	7673	6228
552	7688	6214
553	7702	6201
554	7714	6185
555	7733	6176
556	7748	6162
557	7774	6158
558	7794	6149
559	7810	6137
560	7824	6123
561	7859	6125
562	7883	6119
563	7901	6108
564	7916	6095
565	7924	6076
566	8217	6275
567	8279	6297
568	8302	6288
569	8310	6269
570	8326	6256
571	8339	6239
572	8351	6223
573	8360	6204
574	8371	6187
575	8383	6171
576	8398	6157
577	8409	6139
578	8419	6122
579	8433	6106
580	8444	6090
581	8455	6072
582	8466	6056
583	8479	6040
584	8493	6025
585	8503	6007
586	8514	5990
587	8524	5972
588	8534	5955
589	8545	5938
590	8554	5919
591	8560	5899
592	8566	5879
593	8572	5859
594	8577	5838
595	8584	5818
596	8590	5798
597	8600	5781
598	8611	5764
599	8621	5747
600	8632	5730
601	8641	5713
602	8653	5697
603	8662	5679
604	8672	5662
605	8683	5645
606	8694	5628
607	8704	5612
608	8713	5594
609	8723	5577
610	8736	5562
611	8746	5545
612	8755	5527
613	8764	5509
614	8772	5491
615	8781	5474
616	8790	5456
617	8803	5441
618	8812	5424
619	8821	5406
620	8832	5390
621	8842	5373
622	8852	5356
623	8861	5339
624	8871	5322
625	8880	5305
626	8888	5287
627	8899	5271
628	8910	5255
629	8919	5238
630	8931	5222
631	8940	5206
632	8951	5190
633	8960	5172
634	8970	5156
635	8980	5139
636	8989	5122
